Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,154585,7199,0,147386,98,4.66,0.0,0.0,38928341,3971.0,154094,491,0.32
Albania,163404,2587,0,160817,451,1.58,0.0,0.0,2877800,56781.0,157436,5968,3.79
Algeria,201766,5709,0,196057,166,2.83,0.0,0.0,43851043,4601.0,200301,1465,0.73
Andorra,15140,130,0,15010,16,0.86,0.0,0.0,77265,195949.0,15096,44,0.29
Angola,52644,1409,0,51235,337,2.68,0.0,0.0,32866268,1602.0,50738,1906,3.76
Antigua and Barbuda,2603,55,0,2548,0,2.11,0.0,0.0,97928,26581.0,2297,306,13.32
Argentina,5241394,114518,0,5126876,2162,2.18,0.0,0.0,45195777,115971.0,5226831,14563,0.28
Armenia,253942,5143,0,248799,342,2.03,0.0,0.0,2963234,85698.0,249146,4796,1.92
Australia,88710,1178,0,87532,1582,1.33,0.0,0.0,50919400,1742.0,76901,11809,15.36
Austria,725434,10896,0,714538,1399,1.5,0.0,0.0,9006400,80547.0,711573,13861,1.95
Azerbaijan,473459,6327,0,467132,6286,1.34,0.0,0.0,10139175,46696.0,461249,12210,2.65
Bahamas,20215,510,0,19705,185,2.52,0.0,0.0,393248,51405.0,19601,614,3.13
Bahrain,274383,1388,0,272995,119,0.51,0.0,0.0,1701583,161252.0,273835,548,0.2
Bangladesh,1544238,27251,0,1516987,1555,1.76,0.0,0.0,164689383,9377.0,1532366,11872,0.77
Barbados,6631,59,0,6572,104,0.89,0.0,0.0,287371,23075.0,5984,647,10.81
Belarus,518369,4016,0,514353,1941,0.77,0.0,0.0,9449321,54858.0,504961,13408,2.66
Belgium,1224885,25517,0,1199368,5071,2.08,0.0,0.0,23021022,53207.0,1210381,14504,1.2
Belize,18902,395,0,18507,370,2.09,0.0,0.0,397621,47538.0,17767,1135,6.39
Benin,21450,146,0,21304,0,0.68,0.0,0.0,12123198,1769.0,19841,1609,8.11
Bhutan,2597,3,0,2594,0,0.12,0.0,0.0,771612,3366.0,2596,1,0.04
Bolivia,497386,18664,0,478722,286,3.75,0.0,0.0,11673029,42610.0,495035,2351,0.47
Bosnia and Herzegovina,227579,10287,0,217292,1722,4.52,0.0,0.0,3280815,69367.0,222161,5418,2.44
Botswana,173788,2354,0,171434,1536,1.35,0.0,0.0,2351625,73901.0,165644,8144,4.92
Brazil,21247667,590955,0,20656712,7884,2.78,0.0,0.0,422706534,50266.0,21006424,241243,1.15
Brunei,5261,28,0,5233,214,0.53,0.0,0.0,437483,12026.0,4323,938,21.7
Bulgaria,484546,20166,0,464380,2360,4.16,0.0,0.0,6948445,69734.0,473270,11276,2.38
Burkina Faso,14052,172,0,13880,11,1.22,0.0,0.0,20903278,672.0,13950,102,0.73
Burma,448158,17129,0,431029,1585,3.82,0.0,0.0,54409800,8237.0,434106,14052,3.24
Burundi,14189,38,0,14151,0,0.27,0.0,0.0,11890781,1193.0,14189,0,0.0
Cabo Verde,37157,331,0,36826,49,0.89,0.0,0.0,555988,66831.0,36640,517,1.41
Cambodia,104716,2123,0,102593,622,2.03,0.0,0.0,16718971,6263.0,100133,4583,4.58
Cameroon,85414,1368,0,84046,0,1.6,0.0,0.0,26545864,3218.0,84210,1204,1.43
Canada,1589989,27487,0,1562502,8986,1.73,0.0,0.0,75750184,20990.0,1559129,30860,1.98
Central African Republic,11340,100,0,11240,31,0.88,0.0,0.0,4829764,2348.0,11309,31,0.27
Chad,5029,174,0,4855,0,3.46,0.0,0.0,16425859,306.0,5017,12,0.24
Chile,1647746,37367,0,1610379,277,2.27,0.0,0.0,36692988,44906.0,1644540,3206,0.19
China,108038,4849,0,103189,77,4.49,0.0,0.0,2809352660,38.0,107549,489,0.45
Colombia,4942249,125924,0,4816325,1185,2.55,0.0,0.0,99141018,49851.0,4931563,10686,0.22
Comoros,4109,147,0,3962,3,3.58,0.0,0.0,869595,4725.0,4100,9,0.22
Congo (Brazzaville),13701,183,0,13518,0,1.34,0.0,0.0,89561403,153.0,13701,0,0.0
Congo (Kinshasa),56463,1068,0,55395,76,1.89,0.0,0.0,5518087,10232.0,56215,248,0.44
Costa Rica,510653,6056,0,504597,5490,1.19,0.0,0.0,5094114,100244.0,489784,20869,4.26
Cote d'Ivoire,59153,569,0,58584,133,0.96,0.0,0.0,26378274,2242.0,58148,1005,1.73
